152,ATL,RB,Tyler,Allgeier,0,50,152,40.91,162,10,-49.51,93.42,142.93,-52,100,14,-8.6,-90.42
153,PHI,RB,Kenneth,Gainwell,0.11,51,153,22.89,162.5,9.5,-33.77,109.16,142.93,-53,100,7,-10.88,-56.67
154,CLE,TE,David,Njoku,0.81,16,154,6.8,164,10,-14.12,110.83,124.95,-60,94,9,-7.32,-20.92
155,TB,RB,Rachaad,White,0,52,155,24.25,164.5,9.5,-53.3,89.63,142.93,-55,100,11,-29.05,-77.56
156,GB,WR,Romeo,Doubs,0,57,156,31.85,165,9,-70.79,81.61,152.4,-58,98,14,-38.94,-102.64
157,BAL,DST,Bal,Ravens,0,10,157,8.28,165.5,8.5,-12.49,101.44,113.93,-60,97,10,-4.21,-20.77
158,NO,RB,Mark,Ingram,0.81,53,158,9.31,166,8,-47.29,95.64,142.93,-58,100,14,-37.98,-56.61
159,CHI,QB,Justin,Fields,0.13,17,159,17.28,166,7,-46.69,293.75,340.44,-60,99,14,-29.41,-63.97
160,KC,WR,Mecole,Hardman,0.49,58,160,30.84,166.5,6.5,-16.2,136.2,152.4,-62,98,8,14.64,-47.04
162,ATL,K,Younghoe,Koo,0,7,162,7.46,168.5,6.5,-15.36,130.28,145.63,-58,104,7,-7.9,-22.81
163,CHI,RB,Khalil,Herbert,0.29,55,163,27.24,170.5,7.5,-61.23,81.7,142.93,-63,100,9,-33.99,-88.48
164,WAS,WR,Jahan,Dotson,0,59,164,12.59,170.5,6.5,-37.4,115,152.4,-66,98,8,-24.81,-49.99
165,DAL,WR,Michael,Gallup,0.78,60,165,17.02,172,7,-24.99,127.41,152.4,-67,98,11,-7.97,-42.01
166,LAR,TE,Tyler,Higbee,0.79,17,166,11.48,172.5,6.5,-8.45,116.51,124.95,-72,94,6,3.04,-19.93
167,CAR,QB,Baker,Mayfield,0.12,18,167,28.18,174,7,-74.69,265.75,340.44,-68,99,8,-46.51,-102.88
168,LV,RB,Zamir,White,0,56,168,27.42,176,8,-69.31,73.62,142.93,-68,100,10,-41.89,-96.72
169,PIT,QB,Kenny,Pickett,0,19,169,62.93,176.5,7.5,-241.18,99.26,340.44,-70,99,14,-178.24,-304.11
170,ARI,WR,Rondale,Moore,0.82,61,170,13.53,177.5,7.5,-41.63,110.77,152.4,-72,98,13,-28.1,-55.16
171,JAC,QB,Trevor,Lawrence,0.09,20,171,10.41,177.5,6.5,-37.44,303,340.44,-72,99,7,-27.03,-47.85
172,NYG,WR,Kenny,Golladay,0.9,62,172,18.15,178.5,6.5,-20.67,131.74,152.4,-74,98,6,-2.51,-38.82
173,DET,RB,Jamaal,Williams,0.91,57,173,12.48,179.5,6.5,-33.37,109.56,142.93,-73,100,9,-20.88,-45.85
174,NE,QB,Mac,Jones,0.11,21,174,28.68,181,7,-54.1,286.33,340.44,-75,99,7,-25.42,-82.78
175,SF,K,Robbie,Gould,0,8,175,8.56,181.5,6.5,-9.28,136.35,145.63,-71,104,11,-0.73,-17.84
177,NE,K,Nick,Folk,0,9,177,13.71,182.5,5.5,-7.37,138.26,145.63,-73,104,14,6.34,-21.08
178,CLE,QB,Deshaun,Watson,0.17,22,178,17.79,183.5,5.5,-203.15,137.29,340.44,-79,99,14,-185.36,-220.94
179,GB,WR,Christian,Watson,0,64,179,28.2,183.5,4.5,-71.44,80.96,152.4,-81,98,10,-43.25,-99.64
180,DET,WR,Dj,Chark,0,65,180,24.8,184.5,4.5,-33.35,119.05,152.4,-82,98,13,-8.55,-58.15
181,LAC,WR,Joshua,Palmer,0,66,181,31.44,185,4,-50.76,101.64,152.4,-83,98,11,-19.32,-82.2
182,NO,QB,Jameis,Winston,0.29,23,182,43.95,185,3,-56.33,284.11,340.44,-83,99,10,-12.38,-100.29
184,ARI,K,Matt,Prater,0,10,184,6.54,185.5,1.5,-9.39,136.24,145.63,-80,104,10,-2.85,-15.94
